epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,784.564,1.33208,4.25659,1.77971,0.39061,0.15426,0.10727,0.06316,1.23239,4.03946,1.79288,0.000137305,0.000137305,0.000137305
2,1562.41,1.31531,3.39673,1.78272,0.38054,0.32012,0.23414,0.14024,1.32264,3.41118,1.77317,0.000248951,0.000248951,0.000248951
3,2337.63,1.31039,3.03971,1.73336,0.38952,0.39471,0.3261,0.19494,1.35935,3.24651,1.8057,0.000333075,0.000333075,0.000333075
4,3119.34,1.30542,2.7684,1.73307,0.3968,0.52581,0.40696,0.24136,1.36329,2.87956,1.83315,0.000293151,0.000293151,0.000293151
5,3902.39,1.26087,2.62245,1.68867,0.55294,0.5411,0.52225,0.32116,1.27358,2.67326,1.73445,0.000251868,0.000251868,0.000251868
6,4694.65,1.2391,2.40147,1.64925,0.52686,0.60648,0.56544,0.34912,1.27519,2.48087,1.75215,0.000210585,0.000210585,0.000210585
7,5487.65,1.20716,2.26231,1.62086,0.60967,0.59009,0.58802,0.36207,1.25254,2.68539,1.70444,0.000169302,0.000169302,0.000169302
8,6264.33,1.17653,2.08986,1.59523,0.64123,0.65919,0.66099,0.41564,1.2718,2.31066,1.72199,0.000128019,0.000128019,0.000128019
9,7058.94,1.16298,2.05131,1.56492,0.63974,0.6938,0.6829,0.44142,1.20278,2.16025,1.64486,8.6736e-05,8.6736e-05,8.6736e-05
10,7853.06,1.15931,1.92168,1.56029,0.71536,0.70325,0.71531,0.45957,1.21627,2.12524,1.64451,4.5453e-05,4.5453e-05,4.5453e-05
