epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6073,1.06075,3.47947,1.29135,0.00315,0.66667,0.29287,0.21925,1.01806,3.69735,1.52508,0.00035725,0.00035725,0.00035725
2,60.4073,1.05988,2.93429,1.41739,0.00314,0.66667,0.29311,0.22684,0.93514,3.63378,1.31499,0.000778567,0.000778567,0.000778567
3,90.3228,1.24707,2.34244,1.46909,0.00314,0.66667,0.40083,0.28084,1.06306,3.44158,1.65742,0.00113701,0.00113701,0.00113701
4,119.924,1.23026,2.36889,1.56068,0.59069,0.35151,0.47513,0.29885,1.16192,3.33529,1.63629,0.00114606,0.00114606,0.00114606
5,150.215,1.11262,1.93171,1.48098,0.83312,0.33333,0.34294,0.22753,1.18607,3.2944,1.61424,0.00105174,0.00105174,0.00105174
6,180.789,1.11613,2.01308,1.6245,0.90067,0.33333,0.42801,0.29992,1.21768,3.09634,1.76921,0.00095743,0.00095743,0.00095743
7,210.211,1.01691,2.16974,1.46307,0.80309,0.16667,0.19227,0.09063,1.42228,3.92468,2.14551,0.000863116,0.000863116,0.000863116
8,239.396,0.8114,1.90203,1.26878,0.3638,0.25737,0.21003,0.09107,1.52322,3.86094,2.37566,0.000768802,0.000768802,0.000768802
9,268.762,1.0887,1.94378,1.51938,0.26102,0.33333,0.23313,0.09142,1.76734,3.88665,2.89192,0.000674488,0.000674488,0.000674488
10,298.455,0.90585,1.5964,1.30954,0.21941,0.43519,0.28053,0.17681,1.72875,4.21362,2.85243,0.000580174,0.000580174,0.000580174
11,328.106,0.81211,1.48758,1.26732,0.30363,0.5,0.39657,0.24653,1.56268,3.18793,2.45543,0.00048586,0.00048586,0.00048586
12,357.805,0.74946,1.45318,1.24259,0.35343,0.39293,0.41419,0.26884,1.45644,3.8841,2.28082,0.000391546,0.000391546,0.000391546
13,387.54,0.6841,1.40795,1.17803,0.34067,0.47634,0.44135,0.29371,1.38102,4.07188,2.06452,0.000297232,0.000297232,0.000297232
14,417.523,0.80808,1.51926,1.23087,0.73109,0.40772,0.45815,0.31026,1.34029,3.46043,1.95788,0.000202918,0.000202918,0.000202918
15,447.516,0.7965,1.40087,1.30623,0.84406,0.40827,0.48318,0.33452,1.3144,2.6778,1.83051,0.000108604,0.000108604,0.000108604
